,Company name,Website,Sector,Region,Revenue Band
247,DIRECT CORPORATE CLOTHING PLC,http://www.directcorporate.co.uk/ ,Retail,West Midlands,£20M - £30M
248,DIRECT MEDICS LTD,http://www.directmedics.com,Employment services,Northern Ireland,£20M - £30M
249,DISOTTO FOODS LIMITED,http://www.disottofoods.co.uk,Food & Beverage,London,£10M - £20M
250,DOTDIGITAL GROUP PLC,http://dotdigitalgroup.com,Information Technology,London,£20M - £30M
251,DOW WASTE MANAGEMENT LIMITED,http://www.dowuk.com,Waste Management,Scotland,£10M - £20M
252,DOWNLAND BEDDING COMPANY LIMITED(THE),http://www.downlandbedding.co.uk,Manufacturing,North West England,£10M - £20M
253,DOWNWELL DEMOLITION LIMITED,http://www.downwell.co.uk/,Building & Landscape services,East of England,£6M - £10M
254,DPR GROUP LIMITED,http://www.dpr.co.uk,Information Technology,London,£6M - £10M
255,DRAFT HOUSE HOLDING LIMITED,http://www.drafthouse.co.uk/,Food & Beverage,London,£6M - £10M
256,DRIBUILD GROUP LIMITED,https://dribuild.com,Engineering & Construction,South West England,£20M - £30M
257,DRINK WAREHOUSE UK LIMITED,https://www.drinkwarehouseuk.co.uk,Wholesale,South East England,£6M - £10M
258,DUDMAN HOLDINGS LIMITED,http://www.dudmangroup.co.uk,Building & Landscape services,South East England,£10M - £20M
259,DUNCAN AND TODD (GROUP) LIMITED,https://www.duncanandtoddgroup.com ,Healthcare,Scotland,£10M - £20M
260,DUNMOW SKIPS LTD,http://www.dunmowwaste.com/,Waste Management,East of England,£6M - £10M
261,E - LEATHER LIMITED,http://www.eleathergroup.com/,Manufacturing,East of England,£20M - £30M
262,E C DRUMMOND (AGRICULTURE) LTD,http://www.ecdrummond.co.uk,Farming & Fishery,West Midlands,£20M - £30M
263,E P E INTERNATIONAL LIMITED,http://www.epeinternational.com,Retail,Yorkshire and the Humber,£10M - £20M
264,EAGLE EYE SOLUTIONS GROUP PLC,https://www.eagleeye.com,Information Technology,London,£6M - £10M
265,EAMES CONSULTING GROUP HOLDINGS LIMITED,https://www.eamesconsulting.com,Employment services,London,£40M - £50M
266,EARTHPORT PLC,https://www.earthport.com,Information Technology,London,£20M - £30M
267,EASYHOTEL PLC,https://ir.easyhotel.com,Leisure,London,£6M - £10M
268,EASY-TRIM ROOFING AND CONSTRUCTION PRODUCTS LTD,https://www.easy-trim.co.uk,Building Materials,North West England,£10M - £20M
269,EAT NATURAL LIMITED,http://www.eatnatural.co.uk,Food & Beverage,London,£30M - £40M
270,EC3 BROKERS LIMITED,http://www.ec3brokers.com,Financial services,London,£6M - £10M
271,ECELL GLOBAL LIMITED,http://ecellglobal.com,Retail,North West England,£6M - £10M
272,ECO ANIMAL HEALTH GROUP PLC,http://www.ecoanimalhealthgroupplc.com,Pharmaceuticals & Biotechnology,London,£50M - £75M
273,ECOTRICITY GROUP LTD,https://www.ecotricity.co.uk,Energy & Utility,South West England,£100M - £150M
274,ECS SECURITY LTD,https://ecs.co.uk,Information Technology,Scotland,£10M - £20M
275,EDGE INNOVATE (NI) LIMITED,https://edgeinnovate.com,Building & Landscape services,Northern Ireland,£10M - £20M
276,EDWARD VINSON LIMITED,http://www.edwardvinson.co.uk/,Farming & Fishery,South East England,£10M - £20M
277,ELDAPOINT INVESTMENTS LIMITED,https://www.eldapoint.co.uk,Manufacturing,North West England,£10M - £20M
278,ELECTRA PRIVATE EQUITY PLC,http://www.electraequity.com,Financial services,London,£75M - £100M
279,ELMBRIDGE PUMP COMPANY LTD,https://www.dutypoint.com/ ,Manufacturing,South West England,£10M - £20M
280,ELMGROVE FOODS LIMITED,http://www.elmgrovefoods.com,Farming & Fishery,Northern Ireland,£30M - £40M
281,ELSTEAD GROUP LIMITED,http://www.elsteadlighting.com/,Electronic Engineering,South East England,£10M - £20M
282,EMB-GROUP LTD,http://www.emb-group.co.uk,Legal & Accounting,East Midlands,£10M - £20M
283,EMPIRE TAPES PLC,http://www.empiretapes.com,Manufacturing,Yorkshire and the Humber,£10M - £20M
284,ENDAVA LIMITED,http://www.endava.com,Information Technology,London,£150M - £200M
285,ENERGI RECRUITMENT SERVICES LIMITED,https://energi.uk.com,Engineering & Construction,South East England,£6M - £10M
286,ENNISMORE INTERNATIONAL MANAGEMENT LIMITED,http://ennismore.com,Architecture & Engineering,London,£10M - £20M
287,EPG ENERGY LIMITED,https://www.endco.co.uk,Energy & Utility,East of England,£30M - £40M
288,ER TRAVEL SERVICES LTD,http://www.easirent.com,Rental & Leasing,North West England,£20M - £30M
289,ERGOMED PLC,http://www.ergomedplc.com,Professional services,South East England,£30M - £40M
290,ERIC PARRY ARCHITECTS LTD,http://www.ericparryarchitects.co.uk,Architecture & Engineering,London,£6M - £10M
291,ERITH HOLDINGS LIMITED,http://www.erith.com,Building & Landscape services,London,£100M - £150M
292,ESENDEX TOPCO LIMITED,https://www.esendex.co.uk,Information Technology,East Midlands,£20M - £30M
293,ESP GLOBAL HOLDINGS LIMITED,http://www.esp.co.uk,Information Technology,South East England,£20M - £30M
294,ETC VENUES PARENT HOLDINGS LTD,https://www.etcvenues.co.uk,Leisure,London,£40M - £50M
295,EURO ACCESSORIES LIMITED,http://www.euroacc.co.uk,Metal Manufacturing & Engineering,North West England,£10M - £20M
296,EUROCELL PLC,https://www.eurocell.co.uk,Manufacturing,East Midlands,£200M - £250M
297,EUROTEC GROUP LIMITED,http://eurotec-group.co.uk/ ,Manufacturing,East of England,£10M - £20M
298,EUROTRADE (W) LIMITED,https://www.eurotrade.co.uk/,Wholesale,North West England,£10M - £20M
299,EVERGOOD ASSOCIATES LTD,https://www.evergoodassociates.co.uk,Employment services,East of England,£20M - £30M
300,EVERYMAN MEDIA GROUP PLC,http://www.everymancinema.com,Leisure,London,£20M - £30M
301,EVOLUTION FOODS LTD,https://www.evolutionfoods.co.uk,Food & Beverage,West Midlands,£40M - £50M
302,EVOLUTION FUNDING LIMITED,https://web.evolutionfunding.com/,Financial services,East Midlands,£50M - £75M
303,EW BEARD (HOLDINGS) LIMITED,https://www.beardconstruction.co.uk/,Engineering & Construction,South West England,£100M - £150M
304,EXCALIBUR UNIFIED COMMUNICATIONS LIMITED,https://www.excaliburcomms.co.uk,Information Technology,South West England,£10M - £20M
305,EXEMPLAR PROPERTIES LIMITED,http://www.exemplar.co.uk/,Engineering & Construction,London,£40M - £50M
306,EXPRESS ENGINEERING (GROUP) LIMITED,http://www.express-engineering.co.uk,Engineering & Construction,North East England,£50M - £75M
307,EXTRUDAKERB (MALTBY ENGINEERING) LIMITED,http://www.extrudakerb.co.uk/,Engineering & Construction,Yorkshire and the Humber,£10M - £20M
308,EZBOB LTD,https://www.ezbob.com/,Financial services,London,£6M - £10M
309,F & G HOLDINGS LIMITED,https://www.barnsleydaf.com,Automotive,Yorkshire and the Humber,£50M - £75M
310,F.P.HURLEY & SONS LIMITED,http://www.fphurley.co.uk/,Building & Landscape services,Wales,£20M - £30M
311,F.W. THORPE PUBLIC LIMITED COMPANY,http://www.fwthorpe.co.uk,Electronic Engineering,West Midlands,£75M - £100M
312,F3GROUP LIMITED,http://www.f3g.uk/,Engineering & Construction,South East England,£10M - £20M
313,FAIRFX GROUP PLC,http://www.fairfxplc.com,Information Technology,London,£10M - £20M
314,FALCON TOWER CRANE SERVICES LTD,http://www.falconcranes.co.uk/,Engineering & Construction,East of England,£40M - £50M
315,FEED COMMUNICATIONS LIMITED,https://www.feed.xyz,Advertising & Marketing,London,£6M - £10M
316,FELIX O'HARE & COMPANY LIMITED,http://www.felixohare.co.uk/,Engineering & Construction,Northern Ireland,£40M - £50M
317,FERGUSON FREIGHT HOLDINGS LIMITED,http://www.fergusontransport.co.uk,Transportation services,Scotland,£10M - £20M
318,FERN TRADING LIMITED,https://www.ferntrading.com/,Financial services,London,£200M - £250M
319,FEVERTREE DRINKS PLC,http://www.fever-tree.com,Food & Beverage,London,£100M - £150M
320,FEVORE LIMITED,http://www.fevore.co.uk/,Rental & Leasing,South East England,£50M - £75M
321,FGS AGRI LIMITED,www.fgsagri.co.uk/ ,Farming & Fishery,South East England,£10M - £20M
322,FIBA TECH INDUSTRIES LIMITED,http://www.fti-group.co.uk,Oil & Gas support services,South West England,£10M - £20M
323,FINANCIAL DATA MANAGEMENT PLC,https://www.fdmplc.com,Printing,London,£10M - £20M
324,FINSA EUROPE LTD,https://finsaeurope.com,Financial services,London,£6M - £10M
325,FIRE GLASS UK LIMITED,http://fireglassuk.com,Manufacturing,West Midlands,£10M - £20M
326,FIROKA (KINGS CROSS) LIMITED,https://www.ihg.com,Leisure,London,£30M - £40M
327,FIRST CALL CONTRACT SERVICES LIMITED,http://firstcallcontractservices.co.uk,Employment services,London,£50M - £75M
328,FIRST DERIVATIVES PUBLIC LIMITED COMPANY,https://www.firstderivatives.com,Professional services,Northern Ireland,£150M - £200M
329,FIRST MILE LIMITED,https://www.thefirstmile.co.uk,Waste Management,London,£10M - £20M
330,FIRST PROTOCOL GROUP LIMITED,https://firstagency.com,Leisure,London,£30M - £40M
331,FK GROUP LIMITED,http://www.fkgroup.co.uk/,Building & Landscape services,North West England,£50M - £75M
332,FLUID OPTIONS UK LIMITED,http://www.fluidhygiene.com,Professional services,London,£6M - £10M
333,FOLLOWME2 LIMITED,http://www.followme2africa.com/,Leisure,London,£10M - £20M
334,FONACAB (BELFAST) LIMITED,http://www.fonacab.com,Transportation services,Northern Ireland,£10M - £20M
335,FONIX MOBILE LIMITED,http://fonix.com,Information Technology,London,£40M - £50M
336,FOOTASYLUM LIMITED,http://www.footasylum.com,Retail,North West England,£100M - £150M
337,FORMATION GROUP PLC,http://www.formationgroupplc.com/,Engineering & Construction,London,£20M - £30M
338,FORRESTERS OF CHESHIRE LIMITED,http://www.forresterschicken.co.uk,Food & Beverage,North West England,£40M - £50M
339,FORZA TIMBER TECHNOLOGY LIMITED,http://www.forza-doors.com,Manufacturing,South East England,£10M - £20M
340,FOUNDATION PILING (HOLDINGS) LIMITED,https://foundation-piling.co.uk,Engineering & Construction,West Midlands,£10M - £20M
341,FRANCIS FLOWER (NORTHERN) LIMITED,http://francisflower.com/,Waste Management,South West England,£20M - £30M
342,FRANK KEY GROUP LIMITED,https://www.frank-key.co.uk,Building & Landscape services,East Midlands,£20M - £30M
343,FRONTGLASS LIMITED,https://www.lattimer.com,Manufacturing,North West England,£10M - £20M
344,FRONTIER MEDICAL GROUP LIMITED,http://www.frontier-group.co.uk/,Healthcare,Wales,£30M - £40M
345,FRY WEALTH LIMITED,http://www.thefrygroup.co.uk,Professional services,South East England,£10M - £20M
346,FULL CREAM LTD,http://www.creamuk.com,Advertising & Marketing,London,£10M - £20M
347,FURMANAC LIMITED,http://www.furmanac.com,Manufacturing,London,£10M - £20M
348,FUTURE  TECHNOLOGY DEVICES INTERNATIONAL LIMITED,http://www.ftdichip.com/,Information Technology,Scotland,£40M - £50M
349,FUTURE CITIES CATAPULT,http://futurecities.catapult.org.uk,Engineering & Construction,London,£10M - £20M
350,FUTUREHEADS RECRUITMENT LIMITED,https://www.wearefutureheads.com,Employment services,London,£10M - £20M
351,G K R LOGISTICS LIMITED,http://www.gkrscaffolding.co.uk,Building & Landscape services,South East England,£20M - £30M
352,GAMING REALMS PLC,http://www.gamingrealms.com,Information Technology,London,£30M - £40M
353,GBE SERVICES LONDON LIMITED,http://www.gbeservices.co.uk,Engineering & Construction,London,£6M - £10M
354,GEARY'S BAKERIES LIMITED,http://www.gearysbakeries.co.uk,Food & Beverage,East Midlands,£10M - £20M
355,GEDA CONSTRUCTION LLP,http://geda.co.uk,Engineering & Construction,Northern Ireland,£30M - £40M
356,GEMFIELDS PLC,https://gemfields.com,Engineering & Construction,London,£150M - £200M
357,GEMINI REPAIRS LIMITED,http://geminiarc.co.uk,Engineering & Construction,West Midlands,£30M - £40M
358,GENERATE FS LIMITED,http://generate-fs.co.uk,Financial services,London,£20M - £30M
359,GENESIS CAPITAL (FINANCE & LEASING) LIMITED,http://www.genesiscapital.co.uk/,Financial services,London,£6M - £10M
360,GENMED.ME LIMITED,http://www.genmed.me.uk,Healthcare,Wales,£30M - £40M
361,GEORGE PRAGNELL LIMITED,http://www.pragnell.co.uk,Retail,West Midlands,£30M - £40M
362,GIFT UNIVERSE GROUP LIMITED,http://giftuniverse.com/,Retail,South East England,£50M - £75M
363,GILL AGGREGATES LIMITED,https://www.gillaggregates.com,Building Materials,South East England,£20M - £30M
364,GINGER PIG LIMITED,https://www.thegingerpig.co.uk,Food & Beverage,Yorkshire and the Humber,£10M - £20M
365,GKFX FINANCIAL SERVICES LIMITED,https://www.gkfx.com,Financial Services,London,£75M - £100M
366,GLADMAN DEVELOPMENTS LIMITED,http://www.gladman.co.uk/,Real Estate,North West England,£40M - £50M
367,GLEN FARROW UK LTD,http://glenfarrow.co.uk/ ,Professional services,East Midlands,£6M - £10M
368,GLOBAL AUTOCARE LIMITED,http://www.globalautocare.co.uk,Automotive,Yorkshire and the Humber,£20M - £30M
369,GLOBAL CHAIR COMPONENTS LIMITED,http://www.globalchaircomponents.co.uk/,Manufacturing,East of England,£10M - £20M
370,GLOBAL GRAPHICS SE,https://www.globalgraphics.com/,Printing,East of England,£10M - £20M
371,GLOBUS (SHETLAND) LIMITED,https://www.globus.co.uk,Metal Manufacturing & Engineering,Scotland,£30M - £40M
372,GLUCO RX LIMITED,https://www.glucorx.co.uk,Healthcare,South East England,£10M - £20M
373,GO GREEN LIMITED,https://gogreen.co.uk/ ,Waste Management,Yorkshire and the Humber,£20M - £30M
374,GP PLUMBING & HEATING ENGINEERS LIMITED,http://gpplumbingandheating.com/,Professional services,South East England,£10M - £20M
375,GPF LEWIS PLC,http://www.gpflewis.co.uk,Building & Landscape services,East of England,£20M - £30M
376,GPL GROUP (MANCHESTER) LIMITED,http://www.gplgroup.co.uk,Building & Landscape services,North West England,£30M - £40M
377,GRANT ASSET MANAGEMENT LIMITED,https://www.gtk.co.uk,Metal Manufacturing & Engineering,Scotland,£10M - £20M
378,GRAPESHOT LIMITED,https://www.grapeshot.com,Information Technology,East of England,£6M - £10M
379,GREEN MAN GAMING LIMITED,https://www.greenmangaming.com,Information Technology,London,£30M - £40M
380,GREENBROOK HEALTHCARE (HOUNSLOW) LIMITED,http://www.greenbrook.nhs.uk,Healthcare,West Midlands,£20M - £30M
381,GREENCOAT UK WIND PLC,http://www.greencoat-ukwind.com,Financial services,London,£75M - £100M
382,GRIFFIN MARKETS GROUP LIMITED,http://www.griffinmarkets.com,Financial services,London,£6M - £10M
383,GRS ROADSTONE GROUP LIMITED,http://www.grsroadstone.co.uk,Waste Management,West Midlands,£150M - £200M
384,GRWP WRW CYF,http://www.wrw.co.uk/,Engineering & Construction,Wales,£30M - £40M
385,GSA CAPITAL SERVICES LIMITED,https://www.gsacapital.com/,Financial services,London,£200M - £250M
386,GTL EUROPE LIMITED,https://www.gtl-europe.co.uk/,Professional services,East of England,£20M - £30M
387,GULLIVER'S TRUCK HIRE LIMITED,http://www.gullivers.co.uk,Rental & Leasing,South West England,£75M - £100M
388,GV MULTI-MEDIA LIMITED,http://www.gvmultimedia.com/ ,Information Technology,London,£20M - £30M
389,H & M SECURITY SERVICES LIMITED,http://www.hmsecurityservices.co.uk,Security,London,£10M - £20M
390,H. B. PROJECTS LIMITED,http://www.hbprojects.co.uk/,Engineering & Construction,Yorkshire and the Humber,£50M - £75M
391,H. G. CONSTRUCTION (HOLDINGS) LIMITED,http://www.hgconstruct.co.uk,Engineering & Construction,East of England,£50M - £75M
392,H.D. RICKETTS LIMITED,http://www.hdricketts.co.uk,Building & Landscape services,West Midlands,£10M - £20M
393,H.E. SIMM & SON LIMITED,http://hesimm.co.uk/,Building & Landscape services,North West England,£50M - £75M
394,H.H. SMITH & SONS CO. LIMITED,http://www.hhsmith.co.uk,Engineering & Construction,North West England,£20M - £30M
395,H.V.C. SUPPLIES (STOURBRIDGE) LIMITED,http://www.h-v-c.com,Metal Manufacturing & Engineering,West Midlands,£10M - £20M
396,HALES GROUP LIMITED,http://www.halesgroup.co.uk,Employment services,East of England,£20M - £30M
397,HALLMARQ VETERINARY IMAGING LIMITED,http://www.hallmarq.net,Arts,South East England,£6M - £10M
398,HALSION HOLDINGS LIMITED,http://www.halsion.online,Engineering & Construction,South East England,£40M - £50M
399,HANDLE PAYROLL SOLUTIONS LIMITED,www.handlefreelancesolutions.co.uk,Professional Services,London,£10M - £20M
400,HARBOUR & JONES LIMITED,http://www.harbourandjones.com,Food & Beverage,London,£50M - £75M
401,HARLOW BROS HOLDINGS LIMITED,https://www.harlowbros.co.uk,Manufacturing,East Midlands,£50M - £75M
402,HARPER DENNIS HOBBS LIMITED,http://hdh.co.uk,Real Estate,London,£6M - £10M
403,HARRIS CONSTRUCTION MANAGEMENT LIMITED,http://harriscm.co.uk,Engineering & Construction,Yorkshire and the Humber,£50M - £75M
404,HARRISON LEISURE UK LIMITED,http://www.harrisonholidays.com,Leisure,North West England,£10M - £20M
405,HARRON GROUP LIMITED,http://www.harronhomes.com,Engineering & Construction,Yorkshire and the Humber,£100M - £150M
406,HARTFORD CARE GROUP LIMITED,http://www.hartfordcare.co.uk,Healthcare,South East England,£10M - £20M
407,HARVEST FINE FOODS LIMITED,http://harvestfinefoods.co.uk,Food & Beverage,South East England,£10M - £20M
408,HARWOOD WEALTH MANAGEMENT GROUP PLC,http://www.harwoodwealth.co.uk,Financial services,South East England,£10M - £20M
409,HAWK PLANT (UK) LTD,http://hawk-group.co.uk,Engineering & Construction,West Midlands,£100M - £150M
410,HAYDOCK FINANCE HOLDINGS LIMITED,http://www.haydockfinance.co.uk,Rental & Leasing,North West England,£10M - £20M
411,HAYFIN CAPITAL MANAGEMENT (UK) LIMITED,http://hayfin.co.uk,Financial services,London,£30M - £40M
412,HAYGROVE LIMITED,http://www.haygrove.com,Food & Beverage,West Midlands,£75M - £100M
413,HBS GROUP SOUTHERN LTD,http://www.hbsgroupsouthern.co.uk/,Building & Landscape services,South East England,£20M - £30M
414,HEARTSTONE INNS LIMITED,http://www.heartstoneinns.co.uk/,Food & Beverage,South East England,£6M - £10M
415,HEATHERWICK STUDIO LIMITED,http://www.heatherwick.com,Architecture & Engineering,London,£20M - £30M
416,HELIOS UNDERWRITING PLC,http://www.huwplc.com,Professional services,London,£20M - £30M
417,HELLENS GROUP HOLDINGS LIMITED,http://hellens.co.uk,Engineering & Construction,North East England,£10M - £20M
418,HELP YOUR CLAIM LIMITED,https://www.helpyourclaim.com,Professional services,North West England,£10M - £20M
419,HENGOED HOLDINGS LIMITED,http://hengoedcourt.co.uk,Healthcare,Wales,£6M - £10M
420,HENLEY BRIDGE INGREDIENTS LIMITED,https://www.hbingredients.co.uk,Food & Beverage,South East England,£10M - £20M
421,HENRY CONSTRUCTION PROJECTS LIMITED,http://henryconstruction.co.uk,Engineering & Construction,London,£100M - £150M
422,HERRCO COSMETICS LIMITED,http://www.herrco.co.uk/ ,Retail,East of England,£10M - £20M
423,HF GROUP LIMITED,http://www.hf-group.co.uk/ ,Professional services,Scotland,£30M - £40M
424,HICKS LOGISTICS LTD,https://www.hickslogistics.co.uk/,Transportation services,Wales,£10M - £20M
425,HIGHWAY STOPS RETAIL LIMITED,http://highwaystops.co.uk,Retail,London,£40M - £50M
426,HIGHWOOD GROUP LIMITED,http://highwoodgroup.co.uk,Building & Landscape services,South East England,£20M - £30M
427,HILL BROTHERS (CHICHESTER) LIMITED,http://www.hillsplants.com,Farming & Fishery,South East England,£10M - £20M
428,HIRECO (TL) LIMITED,http://hireco.co.uk/,Professional services,South East England,£20M - £30M
429,HLMZ HOLDINGS LIMITED,http://www.valencegroup.com,Financial services,London,£10M - £20M
430,HOLLYBROOK (UK) LIMITED,http://hollybrookhomes.co.uk,Engineering & Construction,London,£50M - £75M
431,HOME GROWN HOTELS LIMITED,http://www.thepighotel.com,Leisure,South East England,£10M - £20M
432,HOPKINS AND MOORE (DEVELOPMENTS) LIMITED,http://www.hopkinshomes.co.uk/,Engineering & Construction,East of England,£100M - £150M
433,HOPKINS GROUP LIMITED,http://www.hopkinsgroup.ie,Manufacturing,East Midlands,£20M - £30M
434,HORIZON DISCOVERY GROUP PLC,https://www.horizondiscovery.com,Research,East of England,£20M - £30M
435,HORIZON INTERNATIONAL HOLDINGS LIMITED,http://www.hicargo.com,Transportation Services,South East England,£30M - £40M
436,HOWARD TENENS LIMITED,http://www.tenens.com/,Transportation services,South West England,£50M - £75M
437,HTG INVESTMENTS LIMITED,http://www.htgtrading.co.uk,Food & Beverage,East of England,£10M - £20M
438,HUB WEST SCOTLAND LIMITED,http://www.hubwestscotland.co.uk ,Engineering & Construction,Scotland,£75M - £100M
439,HUGH L S MCCONNELL LIMITED,http://www.mcconnellroofing.com/,Building & Landscape services,Scotland,£10M - £20M
440,HUNTER MACDONALD LTD,http://huntermacdonald.com/ ,Information Technology,East of England,£20M - £30M
441,HYDES' BREWERY LIMITED,https://www.hydesbrewery.com,Food & Beverage,North West England,£20M - £30M
442,I. & H. BROWN LIMITED,http://www.ihbrown.com,Building & Landscape services,Scotland,£50M - £75M
443,ICON SOLUTIONS (UK) LTD.,https://www.iconsolutions.com/,Financial services,London,£10M - £20M
444,IDEAGEN PLC,https://www.ideagen.com ,Information Technology,East Midlands,£20M - £30M
445,IFORCE GROUP LIMITED,https://www.iforcegroup.com/ ,Transportation services,North West England,£50M - £75M
446,IKON CONSTRUCTION LIMITED,http://ikonconstruction.co.uk,Engineering & Construction,South West England,£20M - £30M
447,IMAGE FACTORY COMMUNICATIONS LTD,http://www.imagefactoryuk.com,Printing,South West England,£6M - £10M
448,IMMUNOCORE LIMITED,https://www.immunocore.com/,Research,South East England,£10M - £20M
449,IMPCROSS LIMITED,http://www.impcross.co.uk,Metal Manufacturing & Engineering,South West England,£10M - £20M
450,INCHORA LIMITED,https://www.inchora.com,Financial services,South East England,£6M - £10M
451,INCLUSION HOUSING COMMUNITY INTEREST COMPANY,http://www.inclusionhousing.org.uk,Healthcare,Yorkshire and the Humber,£10M - £20M
452,INDIGO SUN RETAIL LTD.,http://www.indigosun.co.uk,Retail,Scotland,£10M - £20M
453,INDUSTRIAL TOOL SUPPLIES (LONDON) LIMITED,https://www.its.co.uk/ ,Retail,East of England,£30M - £40M
454,INFINOX CAPITAL LIMITED,https://infinox.com,Financial services,London,£10M - £20M
455,INFOBIP LIMITED,https://www.infobip.com,Information Technology,London,£200M - £250M
456,INGENIOUS CAPITAL MANAGEMENT HOLDINGS LIMITED,http://www.theingeniousgroup.co.uk,Financial services,London,£20M - £30M
457,INSPIRATION HEALTHCARE GROUP PLC,https://www.inspiration-healthcare.com,Healthcare,South East England,£10M - £20M
458,INSPIRED ENERGY PLC,http://inspiredplc.co.uk/,Professional services,North West England,£20M - £30M
459,INSTANT OFFICES (HOLDINGS) LIMITED,http://www.instantoffices.com,Real Estate,London,£50M - £75M
460,INSURANCE FACTORY LIMITED,https://www.insurancefactory.co.uk,Insurance,South East England,£30M - £40M
461,INTEGRA BUILDINGS LIMITED,http://integrabuildings.co.uk,Engineering & Construction,Yorkshire and the Humber,£10M - £20M
462,INTEGRAL POWERTRAIN LIMITED,https://integralp.com,Metal Manufacturing & Engineering,South East England,£20M - £30M
463,INTEGRATED CARE 24 LIMITED,http://www.ic24.org.uk,Healthcare,South East England,£75M - £100M
464,INTELIPAC LTD,http://intelipac.com/,Manufacturing,West Midlands,£20M - £30M
465,INTELLIFLO HOLDINGS 2013 LIMITED,https://www.intelliflo.com,Professional services,London,£10M - £20M
466,INTERNATIONAL DIRECT PACKAGING LIMITED,http://www.the-idp-group.com,Manufacturing,East of England,£20M - £30M
467,INTERNATIONAL ENERGY CROPS LIMITED,http://www.iec-energycrops.com/ ,Farming & Fishery,West Midlands,£10M - £20M
468,INTERNATIONAL GENERAL INSURANCE COMPANY (UK) LIMITED,https://www.iginsure.com,Insurance,London,£50M - £75M
469,INTERNET FUSION LIMITED,http://www.internetfusion.co.uk,Retail,East Midlands,£10M - £20M
470,IN-TIME WATCH & JEWELLERY REPAIRS LIMITED,http://www.intime.co.uk ,Retail,North West England,£6M - £10M
471,INTO LIGHTING LIMITED,http://www.into.co.uk,Architecture & Engineering,South East England,£6M - £10M
472,INXPRESS GLOBAL LIMITED,https://www.inxpress.com,Transportation Services,North West England,£10M - £20M
473,INZPIRE GROUP LIMITED,https://www.inzpire.com/,Security,East Midlands,£6M - £10M
474,I-PAYE EMPLOYMENT SERVICES LIMITED,http://www.i-paye.com ,Legal & Accounting,North West England,£50M - £75M
475,IQ GLASS SOLUTIONS LIMITED,https://www.iqglassuk.com,Information Technology,South East England,£10M - £20M
476,ISTORAGE LIMITED,https://istorage-uk.com/,Information Technology,London,£6M - £10M
477,ITALIAN CONTINENTAL STORES LIMITED,http://www.italiancont.co.uk/,Retail,South East England,£10M - £20M
478,IWOCA LTD,https://www.iwoca.co.uk/,Financial services,London,£6M - £10M
479,J D COOLING LIMITED,http://www.jdcooling.com,Metal Manufacturing & Engineering,East of England,£10M - £20M
480,J K R CONTRACTORS LTD.,http://www.jkrcontractors.com/,Building & Landscape services,Scotland,£20M - £30M
481,J ROTHERHAM (HOLDINGS) LIMITED,https://www.jrotherham.co.uk/,Manufacturing,Yorkshire and the Humber,£10M - £20M
482,J. & M. MURDOCH & SON LIMITED,https://www.jmmurdoch.com/ ,Waste Management,Scotland,£10M - £20M
483,J. MEDLER LIMITED,https://www.jmedler.co.uk/,Engineering & Construction,East of England,£10M - £20M
484,J.HAYWARD & SONS OF WALSALL LIMITED,http://jhayward.co.uk,Transportation services,West Midlands,£10M - £20M
485,JACKSON LEES GROUP LTD,https://www.jacksonlees.co.uk,Leisure,North West England,£6M - £10M
486,JAMES A. JOBLING AND COMPANY LIMITED,http://joblingpurser.com,Building & Landscape services,North East England,£10M - £20M
487,JAPAN CENTRE GROUP LIMITED,https://www.japancentre.com,Retail,London,£20M - £30M
488,JCW SAUNDERS LIMITED,http://www.jcwsaunders.co.uk,Professional services,East of England,£10M - £20M
489,JHOOTS HEALTHCARE LIMITED,http://www.jhootspharmacy.co.uk,Pharmaceuticals & Biotechnology,West Midlands,£10M - £20M
490,JOHN F HUNT LTD,https://www.johnfhunt.co.uk,Engineering & Construction,East of England,£75M - £100M
491,JOHN NICHOLLS (HOLDINGS) LIMITED,http://www.johnnichollstrade.co.uk,Retail,South East England,£40M - £50M
492,JOHN ROBERTSON ARCHITECTS LTD,https://www.jra.co.uk,Architecture & Engineering,London,£10M - £20M
493,JOHN ROSS JR. (ABERDEEN) LIMITED,https://www.johnrossjr.com,Food & Beverage,Scotland,£10M - £20M
494,JOHNSONS AGGREGATES AND RECYCLING LIMITED,http://www.johnsonsaggregates.com,Engineering & Construction,East Midlands,£10M - £20M
495,JOSEPH ROBERTSON (ABERDEEN) LIMITED,http://www.josephrobertson.co.uk/,Farming & Fishery,Scotland,£30M - £40M
496,JPJ INSTALLATIONS LIMITED,http://www.jpjltd.co.uk/,Manufacturing,East of England,£10M - £20M
497,JUST DEVELOP IT LIMITED,http://www.justdevelop.it,Financial services,South East England,£10M - £20M
498,JWS HOLDINGS LIMITED,http://www.jwswaste.co.uk ,Waste Management,North West England,£10M - £20M
499,K AND C LOVE LIMITED,http://www.fairfaxplanthire.co.uk,Engineering & Construction,Yorkshire and the Humber,£10M - £20M
500,K K FINE FOODS LIMITED,http://www.kkfinefoods.co.uk,Food & Beverage,Wales,£30M - £40M
501,KALIXA PAYMENTS GROUP LIMITED,https://www.kalixa.com,Information Technology,East of England,£20M - £30M
502,KAMPA UK LTD,http://www.kampa.co.uk ,Leisure,East of England,£20M - £30M
503,KAYBRIDGE CONSTRUCTION (BARNET) LIMITED,http://www.kaybridge.com,Building & Landscape services,London,£20M - £30M
