,Company name,Website,Sector,Region,Revenue Band
57,ARROWS GROUP GLOBAL LIMITED,http://www.arrowsgroup.com,Employment services,London,£30M - £40M
58,ARTHUR DAVID (FOOD WITH SERVICE) LIMITED,https://arthurdavid.co.uk/ ,Farming & Fishery,South West England,£40M - £50M
59,ASH & LACY HOLDINGS LIMITED,https://www.ashandlacy.com/,Engineering & Construction,West Midlands,£30M - £40M
60,ASHCOURT CONTRACTS LIMITED,http://www.ashcourt.com,Building & Landscape services,Yorkshire and the Humber,£20M - £30M
61,ASHFORD COMMERCIAL LIMITED,http://www.ashfordcommercial.co.uk,Manufacturing,London,£10M - £20M
62,ASHWORTH AND PARKER LIMITED,http://www.endclothing.co.uk,Retail,North East England,£30M - £40M
63,ASPENS-SERVICES LIMITED,https://www.aspens-services.co.uk,Food & Beverage,West Midlands,£20M - £30M
64,ASTRAK GROUP LIMITED,http://astrakgroup.co.uk,Building & Landscape services,Scotland,£20M - £30M
65,ASTUTE ELECTRONICS LIMITED,https://www.astute.global/ ,Electronic Engineering,East of England,£50M - £75M
66,AT MEDICS LIMITED,http://atmedics.com,Healthcare,London,£20M - £30M
67,ATD TRAVEL SERVICES LIMITED,http://www.atdtravelservices.co.uk/ ,Leisure,London,£10M - £20M
68,ATHENA (UK) LIMITED,http://www.athenacivilengineering.co.uk,Building & Landscape services,Yorkshire and the Humber,£10M - £20M
69,ATKINS WALTERS & WEBSTER LIMITED,http://aww-uk.com/ ,Architecture & Engineering,South West England,£6M - £10M
70,ATKINSON NORTHERN LIMITED,https://www.jtatkinson.co.uk,Retail,North East England,£50M - £75M
71,ATLAS LEISURE HOMES LIMITED,http://atlasleisurehomes.co.uk/,Real Estate,Yorkshire and the Humber,£30M - £40M
72,AUGEAN PLC,http://www.augeanplc.com/ ,Waste Management,Yorkshire and the Humber,£75M - £100M
73,AUTINS GROUP PLC,http://www.autins.co.uk,Automotive,West Midlands,£20M - £30M
74,AUTO BATTERY SERVICE LIMITED,http://www.autoinsider.co.uk,Automotive,West Midlands,£10M - £20M
75,AUTORAMA UK LTD,http://www.autorama.co.uk/,Rental & Leasing,East of England,£30M - £40M
76,AVATION PLC,http://www.avation.net,Rental & Leasing,London,£50M - £75M
77,AVINITY LIMITED,https://www.avinity.com,Wholesale,South East England,£20M - £30M
78,AW REPAIR GROUP LIMITED,http://awaccidentrepair.com/ ,Automotive,East Midlands,£6M - £10M
79,B S EATON LIMITED,http://www.bseaton.co.uk/ ,Engineering & Construction,West Midlands,£10M - £20M
80,B&CE HOLDINGS LIMITED,https://bandce.co.uk,Professional services,South East England,£30M - £40M
81,B.P.MARSH & PARTNERS PLC,http://www.bpmarsh.co.uk,Financial services,London,£10M - £20M
82,BADOO LIMITED,http://badoo.com/,Information Technology,London,£10M - £20M
83,BAILLIE GIFFORD JAPAN TRUST PUBLIC LIMITED COMPANY (THE),https://www.bailliegifford.com,Financial services,Scotland,£6M - £10M
84,BALDWINS HOLDINGS LIMITED,https://www.baldwinsaccountants.co.uk,Financial services,West Midlands,£20M - £30M
85,BANKSIDE PATTERSON LIMITED,https://www.bankside-patterson.co.uk/ ,Metal Manufacturing & Engineering,Yorkshire and the Humber,£10M - £20M
86,BANNER CONTRACTS (HALNABY) LIMITED,http://www.bannercontracts.co.uk/ ,Engineering & Construction,Yorkshire and the Humber,£10M - £20M
87,BANOR CAPITAL LIMITED,http://www.banorcapital.com/,Financial services,London,£20M - £30M
88,BARGATE HOMES LIMITED,http://www.bargatehomes.co.uk,Engineering & Construction,South East England,£30M - £40M
89,BARONS PUB COMPANY LTD,https://www.baronspubs.com/ ,Food & Beverage,South East England,£6M - £10M
90,BARRON WOOD DISTRIBUTION LIMITED,https://barronwooddistribution.co.uk ,Transportation services,North West England,£50M - £75M
91,BATES OFFICE SERVICES LTD,https://www.batesoffice.co.uk,Professional services,South East England,£20M - £30M
92,BAXALL CONSTRUCTION LIMITED,http://www.baxallconstruction.co.uk,Engineering & Construction,South East England,£20M - £30M
93,BCHANNELS INTERNATIONAL-CHANNEL SERVICES LIMITED,https://www.bchannels.com,Information Technology,South East England,£6M - £10M
94,BD FOODS LTD,http://www.bdfoods.co.uk/,Food & Beverage,South East England,£10M - £20M
95,BEACON COMMUNICATION SERVICES LIMITED,http://www.beaconcomms.co.uk,Building & Landscape services,South West England,£20M - £30M
96,BEAL SECURITIES LIMITED,http://beal-homes.co.uk/ ,Engineering & Construction,Yorkshire and the Humber,£30M - £40M
97,BROOKS MACDONALD GROUP PLC,https://www.brooksmacdonald.com,Financial services,London,£75M - £100M
98,BEE HEALTH LIMITED,https://www.beehealth.com/,Pharmaceuticals & Biotechnology,Yorkshire and the Humber,£20M - £30M
99,BEECHCROFT GROUP LIMITED,http://www.beechcroft.co.uk,Engineering & Construction,South East England,£40M - £50M
100,BEECHFIELD BRANDS HOLDINGS LIMITED,http://www.beechfieldbrands.com/ ,Retail,North West England,£20M - £30M
101,BELL BROTHERS NURSERIES LIMITED,http://www.bellbrothersnurseries.com/ ,Building & Landscape services,East Midlands,£6M - £10M
102,BELVOIR LETTINGS PLC,http://www.belvoirlettingsplc.com,Real Estate,East Midlands,£6M - £10M
103,BENCHMARK HOLDINGS PLC,http://www.benchmarkplc.com,Research,Yorkshire and the Humber,£100M - £150M
104,BENNETTS CRANES LIMITED,http://www.tower-crane.co.uk,Engineering & Construction,South West England,£6M - £10M
105,BENNIMAN LIMITED,http://www.benniman.co.uk,Engineering & Construction,West Midlands,£40M - £50M
106,BES COMMERCIAL ELECTRICITY LTD,https://www.besutilities.co.uk/,Energy & Utility,North West England,£50M - £75M
107,BESPOKE CONSTRUCTION SERVICES LIMITED,http://bespokeconstruction.co.uk/,Engineering & Construction,West Midlands,£20M - £30M
108,BEST FOODS LIMITED,http://www.bestfoods.eu/ ,Food & Beverage,London,£40M - £50M
109,BETA PHARMACEUTICALS LIMITED,http://www.betapharmaceuticals.co.uk/ ,Pharmaceuticals & Biotechnology,East of England,£20M - £30M
110,BEW ELECTRICAL DISTRIBUTORS LIMITED,https://www.bewdirect.co.uk/ ,Retail,East of England,£50M - £75M
111,BEWLEY GROUP LIMITED,http://www.bewley.co.uk,Real Estate,South East England,£75M - £100M
112,BIGHAMS LIMITED,https://www.bighams.com/ ,Food & Beverage,London,£40M - £50M
113,BILBY PLC,http://www.bilbyplc.com,Building & Landscape services,London,£50M - £75M
114,BIOCOMPOSITES (UK) LIMITED,http://www.biocomposites.com,Healthcare,West Midlands,£30M - £40M
115,BIONICAL LIMITED,https://www.bionical.com/,Healthcare,East Midlands,£30M - £40M
